day,hour,minute,second,frames,v1,v2,v3,std,minY,pixels
08,20,07,56.747,13,4.96,3.75,2.24,6.87,081,6998
08,20,08,00.624,18,4.75,4.89,5.00,5.23,072,4929
08,20,09,11.021,8,-2.44,-1.44,-0.94,4.49,062,3586
08,20,09,11.572,9,-4.44,-4.34,-4.56,3.12,059,2955
08,20,12,49.022,23,6.35,6.08,5.26,6.60,067,3646
08,20,13,07.489,11,5.64,6.08,4.85,16.84,067,3041
08,20,13,07.822,22,-4.17,-5.13,-5.33,3.90,081,5184
08,20,17,23.891,18,-6.17,-5.14,-4.19,3.60,078,5187
08,20,18,08.152,13,8.60,7.52,6.31,3.85,071,3698
08,20,20,32.553,9,2.89,2.42,0.78,4.41,068,4124
08,20,20,32.750,18,-4.78,-5.72,-6.08,3.91,087,6200
08,20,22,24.357,19,3.55,4.80,5.77,3.86,075,4510
08,20,27,51.229,25,3.54,4.77,5.76,19.59,072,3840
08,20,29,05.491,9,-7.44,-4.97,-2.44,13.35,063,3923
08,20,29,05.753,13,-9.58,-7.66,-6.40,7.31,058,3250
08,20,31,48.354,18,6.22,6.30,5.86,4.90,067,3839
08,20,31,48.713,7,1.50,3.14,4.79,3.50,070,3550
08,20,32,07.621,20,5.35,6.88,7.41,7.20,068,4102
08,20,37,19.495,25,3.18,2.55,1.94,3.76,085,7131
08,20,43,28.158,12,-5.31,-5.61,-5.19,9.47,065,4564
08,20,43,28.376,14,-6.05,-6.65,-6.84,1.54,059,3498
08,20,49,53.025,11,5.09,6.89,8.02,4.34,075,5162
08,20,58,01.762,17,7.73,7.47,6.76,8.18,068,3659
08,20,59,44.500,17,4.87,6.29,6.91,8.29,069,4724
08,20,59,52.232,23,5.05,6.40,7.11,3.02,076,5205
08,21,03,31.830,13,7.38,7.57,7.35,7.72,069,3816
08,21,08,03.434,22,7.25,6.34,5.16,5.36,073,4169
08,21,13,50.176,24,1.95,1.40,0.95,1.43,099,5163
08,21,13,53.517,10,3.30,2.44,1.15,3.70,099,3562
08,21,14,03.834,18,3.92,2.74,1.64,5.40,076,3265
08,21,14,09.834,24,-2.53,-2.72,-2.83,3.83,067,4141
08,21,14,10.788,10,-4.50,-4.56,-3.52,4.80,060,2709
08,21,15,01.568,21,4.80,5.55,6.57,17.67,075,5473
08,21,18,50.437,10,3.60,2.80,1.30,22.71,066,4082
08,21,18,50.637,13,-7.56,-7.05,-5.80,4.07,065,4875
08,21,20,57.176,8,-4.50,-2.00,-0.75,6.21,065,4250
08,21,20,57.767,10,-6.00,-4.96,-4.60,7.35,058,2758
